city_code,province,city
510800,四川,广元
510900,四川,遂宁
511000,四川,内江
511100,四川,乐山
511300,四川,南充
511400,四川,眉山
511500,四川,宜宾
511600,四川,广安
511700,四川,达州
511800,四川,雅安
511900,四川,巴中
512000,四川,资阳
513200,四川,阿坝藏族羌族自治州
513300,四川,甘孜藏族自治州
513400,四川,凉山彝族自治州
520000,贵州
520100,贵州,贵阳
520200,贵州,六盘水
520300,贵州,遵义
520400,贵州,安顺
520500,贵州,毕节
520600,贵州,铜仁
522300,贵州,黔西南布依族苗族自治州
522600,贵州,黔东南苗族侗族自治州
522700,贵州,黔南布依族苗族自治州
530000,云南
530100,云南,昆明
530300,云南,曲靖
530400,云南,玉溪
530500,云南,保山
530600,云南,昭通
530700,云南,丽江
530800,云南,普洱
530900,云南,临沧
532300,云南,楚雄彝族自治州
532500,云南,红河哈尼族彝族自治州
532600,云南,文山壮族苗族自治州
532800,云南,西双版纳傣族自治州
532900,云南,大理白族自治州
533100,云南,德宏傣族景颇族自治州
533300,云南,怒江傈僳族自治州
533400,云南,迪庆藏族自治州
540000,西藏
540100,西藏,拉萨
540200,西藏,日喀则
540300,西藏,昌都
540400,西藏,林芝
540500,西藏,山南
540600,西藏,那曲
542500,西藏,阿里地区
610000,陕西
610100,陕西,西安
610200,陕西,铜川
610300,陕西,宝鸡
610400,陕西,咸阳
610500,陕西,渭南
610600,陕西,延安
610700,陕西,汉中
610800,陕西,榆林
610900,陕西,安康
611000,陕西,商洛
620000,甘肃
620100,甘肃,兰州
620200,甘肃,嘉峪关
620300,甘肃,金昌
620400,甘肃,白银
620500,甘肃,天水
620600,甘肃,武威
620700,甘肃,张掖
620800,甘肃,平凉
620900,甘肃,酒泉
621000,甘肃,庆阳
621100,甘肃,定西
621200,甘肃,陇南
622900,甘肃,临夏回族自治州
623000,甘肃,甘南藏族自治州
630000,青海
630100,青海,西宁
630200,青海,海东
632200,青海,海北藏族自治州
632300,青海,黄南藏族自治州
632500,青海,海南藏族自治州
632600,青海,果洛藏族自治州
632700,青海,玉树藏族自治州
632800,青海,海西蒙古族藏族自治州
640000,宁夏
640100,宁夏,银川
640200,宁夏,石嘴山
640300,宁夏,吴忠
640400,宁夏,固原
640500,宁夏,中卫
650000,新疆
650100,新疆,乌鲁木齐
650200,新疆,克拉玛依
650400,新疆,吐鲁番
650500,新疆,哈密
652300,新疆,昌吉回族自治州
652700,新疆,博尔塔拉蒙古自治州
652800,新疆,巴音郭楞蒙古自治州
652900,新疆,阿克苏地区
653000,新疆,克孜勒苏柯尔克孜自治州
653100,新疆,喀什地区
653200,新疆,和田地区
654000,新疆,伊犁哈萨克自治州
654200,新疆,塔城地区
654300,新疆,阿勒泰地区
659001,新疆,石河子
659002,新疆,阿拉尔
659003,新疆,图木舒克
659004,新疆,五家渠
659005,新疆,北屯
659006,新疆,铁门关
659007,新疆,双河
659008,新疆,可克达拉
659009,新疆,昆玉
710000,台湾
710100,台湾,新北市
710200,台湾,高雄市
710300,台湾,台中市
710400,台湾,台北市
710500,台湾,桃园市
710600,台湾,台南市
710700,台湾,彰化县
710800,台湾,屏东县
710900,台湾,云林县
711000,台湾,苗栗县
711100,台湾,新竹县
711200,台湾,嘉义县
711300,台湾,南投县
711400,台湾,宜兰县
711500,台湾,新竹市
711600,台湾,基隆市
711700,台湾,花莲县
711800,台湾,嘉义市
711900,台湾,台东县
712000,台湾,金门县
712100,台湾,澎湖县
712200,台湾,连江县
810000,香港
820000,澳门
